[0.0s-2.9s] 抖音总是给我推送那些美丽的擦边小姐姐
[99.4s-101.4s] 他交易的甚至不是性魅力
[101.4s-102.8s] 而是性的预期
[103.5s-105.5s] 色情产业卖的是性的现货
[105.5s-107.9s] 而差边产业卖的是性的预期
[108.3s-111.1s] 男人付的钱并不是为了这一次视频
[111.1s-112.3s] 他买的是幻想
[112.5s-113.4s] 是想象
[113.6s-115.3s] 是未来可能发生的一切
[116.0s-118.6s] 所以差边视频里面根本不是现货市场
[118.6s-121.8s] 它上是一个围绕性魅力建立起来的
[121.8s-122.9s] 一个期货市场
[122.9s-125.6s] 甚至可以说他卖的是一种金融衍生品
[125.6s-127.2s] 而金融市场有一个规律
[127.2s-128.6s] 凡是交易预期
[128.6s-130.2s] 而不是交易现实的地方
[130.2s-132.6s] 价格都会越来越容易脱离价值
[132.8s-133.7s] 股票是这样的
[133.7s-134.8s] 房地产是这样的
[135.1s-137.2s] 今天性魅力它也是这个样子的
[137.2s-137.6s] 为什么呢
[137.6s-139.2s] 因为男人每天进价的
[139.2s-140.7s] 根本不是一个真实的人
[140.9s-142.9s] 现实里的一个女人她会素颜
[142.9s-145.0s] 会疲惫 会发脾气 会变老
[145.1s-146.6s] 会长胖 会有缺点
[146.9s-148.2s] 会面对柴米油盐
[148.2s-149.6s] 会面对鸡毛蒜皮
[149.6s-151.5s] 但是平台上的她
[151.7s-153.3s] 化妆美颜 绿镜瘦脸
[153.3s-154.9s] 模皮修图 打光运镜
[154.9s-156.6s] 剪辑再加上最美的角度
[156.6s-158.0s] 和最性感的动作
[158.0s-160.4s] 最懂男人本能的那种内容设计
[160.6s-162.8s] 男人每天看到的从来不是这个女人
[162.8s-165.3s] 而是一个她经过无数层包装以后
[165.3s-166.5s] 最昂贵最完美
[166.5s-168.9s] 最容易刺激消费欲望的那个版本
[168.9s-170.4s] 现实卖的是现货
[170.4s-171.8s] 但是平台卖的是期货
[171.8s-174.0s] 甚至还是加了十倍杠杆的期货
[174.0s-175.5s] 所以男人每天进价的
[175.5s-177.6s] 她不是价值 而是估值
[177.6s-179.8s] 估值这个东西天然就有泡沫
[179.8s-182.2s] 而平台她每天都在制造新的泡沫
[182.2s-185.0s] 更白一点 更瘦一点 更年轻一点
[185.0s-187.2s] 更性感一点 更会聊一点
[187.2s-188.6s] 更懂流量一点
[188.6s-190.8s] 整个市场她每天都在推高价格
[190.8s-193.4s] 于是一个女人还没有进入一段关系
[193.4s-195.8s] 这个市场已经替她完成了估值
[195.8s-198.4s] 每天几千个点赞 几百条评论
[198.4s-199.9s] 几十个人追着她夸
[199.9s-201.7s] 甚至还有人花钱打赏
[201.7s-203.0s] 她自然就会相信
[203.0s-204.6s] 这是她自己真实的价值
[204.6s-207.3s] 于是当她进入关系的时候
[207.3s-209.1s] 她带进去的不仅是感情
[209.1s-210.9s] 还有一份市场的报价
[210.9s-213.2s] 她会觉得市场都愿意给我出价格了
[213.2s-214.5s] 凭什么你不给
[214.5s-217.1s] 而男人一开始也相信这个价格
[217.1s-219.2s] 于是不断追高花更多的钱
[219.2s-220.9s] 投入更多的时间
[220.9s-222.8s] 提供更多的情绪价值
[222.8s-224.1s] 不断提高自己的报价
[224.1s-227.0s] 整个过程就像牛市里面的散户追涨
[227.0s-228.6s] 所有人都觉得今天贵一点
[228.6s-229.5s] 明天会更贵
[229.5s-232.1s] 但是长期的关系偏偏是一件
[232.1s-234.1s] 反市场 反金融的事情
[234.1s-235.6s] 市场讲一的是新鲜感
[235.6s-237.4s] 但是婚姻讲一的是责任感
[237.4s-238.9s] 市场讲一的是刺激
[238.9s-240.7s] 婚姻讲一的是稳定
[240.7s-242.0s] 市场讲一的是颜值
[242.0s-244.0s] 婚姻讲一的是共同成长
[244.0s-246.4s] 任何建立在性魅力上的高一价
[246.4s-250.1s] 都会随着时间不断的回归她的基本面
[250.1s-253.2s] 因为再漂亮的人看久了也会看习惯的
[253.2s-255.3s] 再性感的身体也是会衰老的
[255.3s-257.5s] 再高的颜值也是会折旧的
[257.5s-259.4s] 这生物学这不是爱情
[259.4s-261.8s] 于是泡沫就开始破裂
[261.8s-263.2s] 平台每天还在告诉女人
[263.3s-264.8s] 你很值钱
[264.8s-266.8s] 你有无助的人在给你报价
[266.8s-268.6s] 但是现实却每天告诉男人
[268.6s-270.3s] 这个价格不值
[270.3s-272.2s] 于是男人就开始做空
[272.2s-274.2s] 开始计算投入产出比喻
[274.2s-276.2s] 开始寻找更便宜的贴带方案
[276.2s-279.2s] 开始主动刺破对方的孤子泡沫
[279.2s-281.2s] 但是女人肯定是坚定做多
[281.2s-282.4s] 因为这个平台交易所
[282.4s-284.0s] 她从来没有停盘过
[284.0s-285.3s] 总有人不停的点赞
[285.3s-287.3s] 有人私信有人评论
[287.3s-289.0s] 有人告诉她你值得更好的
[289.0s-290.4s] 于是拼命做多
[290.4s-291.5s] 一个人坚定做空
[291.5s-293.4s] 双方争论的已经不是爱或不爱
[293.4s-295.3s] 而是谁高估了自己
[295.3s-297.7s] 最后两性关系越来越像金融市场
[297.7s-300.0s] 而不像共同去经营人生
[300.0s-302.4s] 大家讨论的不是说谁适合谁
[302.4s-303.9s] 而是谁更值钱
[303.9s-305.5s] 不是怎样共同创造未来
[305.5s-307.2s] 而是谁占了谁便宜
[307.2s-308.5s] 不是怎样经营感情
[308.5s-310.0s] 而是谁占了谁亏了
[310.0s-311.5s] 资本市场最大的骗局
[311.5s-313.2s] 就是把孤子当成价值
[313.2s-315.0s] 今天两性关系最大的骗局
[315.0s-316.9s] 就是把流量当成魅力
[316.9s-318.5s] 把报价当成身价
[318.5s-320.4s] 把律境当成人生
[320.4s-321.2s] 所以我一直觉得
[321.2s-322.7s] 擦边视频它真正摧毁的
[322.7s-324.2s] 它不是什么道德
[324.2s-325.6s] 它摧毁的是人们对于
[325.6s-327.4s] 自身价值的判断能力
[327.4s-328.8s] 当一个社会越来越多的人
[328.8s-330.0s] 他相信市场报价
[330.0s-332.0s] 而不是真实的价值的时候
[332.0s-332.9s] 这个两性关系
[332.9s-335.2s] 占据会越来越像一个资本市场
[335.2s-336.2s] 连接会越来越多
[336.2s-337.3s] 成交会越来越快
[337.3s-338.7s] 换手会越来越频繁
[338.7s-340.3s] 而真正愿意长期持有的人
[340.3s-341.5s] 却越来越少
[341.5s-343.2s] 因为当一切都可以被估值
[343.2s-345.0s] 被报价被折腺的时候
[345.0s-346.8s] 这些被消失的从来都不是爱情
[346.8s-347.8s] 而是耐心
